Species,Name,Color,Breed,Eye Color,Environment
Cat,Shadow,Black,Domestic Shorthair,Green,Indoor only
Cat,Archie,Black/White,Domestic Shorthair,Yellow,Indoor/Outdoor
Cat,Alice,Grey,Domestic Mediumhair,Yellow,Indoor/Outdoor
Cat,Wellington,Grey,Domestic Mediumhair,Green,Indoor only
Cat,Andy,Ginger,Domestic Shorthair,Green,Indoor/Outdoor
Cat,Dandilion,White,Persian,Blue,Indoor only
Cat,Butterscotch,Ginger,Domestic Shorthair,Yellow,Indoor/Outdoor
Cat,Rascal,Calico,Domestic Shorthair,Green,Indoor only
Cat,Sweetie Pie,Calico,Domestic Shorthair,Green,Indoor only
Cat,Dexter,Ginger/White,Domestic Shorthair,Yellow,Indoor only
Cat,Delilah,Ginger,Domestic Shorthair,Green,Indoor only
Cat,Barney,Grey/White,Maine Coon Mix,Green,Indoor only
