Species,Name,Color,Breed,Eye Color,Sex,Fixed
Dog,Rover,Red,Irish Setter,Brown,Male,Yes
Dog,Bella,Brown,Labrador,Black,Female,Yes
Dog,Daisy,Yellow,Labrador,Brown,Female,Yes
Dog,Charlie,Black/white,Mutt,Black,Male,Yes
Dog,Buddy,Brown,Dachshund,Brown,Male,No
Dog,Bull,Black/white,Mutt,Brown,Male,Yes
Dog,Chewy,Black ,Whippet,Brown,Male,Yes
Dog,Rex,Grey,Greyhound,Black,Male,No
Dog,Annabelle,Brown,Irish Setter,Brown,Female,Yes
Dog,Lucy,Yellow,Retriever,Black,Female,Yes
Dog,Fido,Black,Poodle,Black,Male,Yes
Dog,Barbie,White,Poodle,Black,Female,Yes
